build_id,status,decision,public_retained_records,reason,minimum_next_evidence
"007","structured public; certification open","HOLD","7","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"008","structured public; certification open","HOLD","7","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"009","structured public; certification open","HOLD","5","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"010","structured public; certification open","HOLD","5","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"011","structured public; certification open","HOLD","5","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"012","structured public; certification open","HOLD","5","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"013","structured public; certification open","HOLD","5","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"014","structured public; certification open","HOLD","5","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"015","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"016","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"017","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"018","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"019","structured public; certification open","HOLD","1","Retained implementation records are public but no claim-level independent-source locators were verified","Inventory exact public claims; attach primary/authoritative URLs and section/page locators; map support and limitations; second-review"
"020","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"021","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"022","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"023","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"024","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"025","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"026","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"027","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"028","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"029","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"030","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"031","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"032","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"033","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"034","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"035","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"036","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"037","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"038","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"039","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
