"release_order","week","planned_day","build_id","title","field","audience","asset_status","editorial_status","linkedin_status","linkedin_post_url","scheduled_at","published_at","performance_24h","performance_7d","repurpose_status","notes"
"1","1","Tuesday","100","Put resilience decisions in the room","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"2","1","Thursday","001","Human Review Design Framework","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"3","1","Saturday","002","Multi-Audience Meaning Architecture","Culture, media & communication","Creators, brands and media teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"4","2","Tuesday","050","A room is not neutral","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"5","2","Thursday","084","Who created the value—and who gets it?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"6","2","Saturday","038","A benchmark is not performance","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"7","3","Tuesday","065","Continuity Beyond the Session","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"8","3","Thursday","014","The Answer Has Layers","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"9","3","Saturday","072","Why Does Access Change by Island?","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"10","4","Tuesday","093","Compliance happens in motion","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"11","4","Thursday","022","Human Impact Nodes","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"12","4","Saturday","035","An export button is not an exit","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"13","5","Tuesday","003","Unserved Decision Discovery","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"14","5","Thursday","004","Before the Automation","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"15","5","Saturday","005","Service Path Split","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"16","6","Tuesday","010","From Words to Structure","Place, public life & resilience","Public-interest and community leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"17","6","Thursday","082","How Does This Audience Actually Think?","Culture, media & communication","Creators, brands and media teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"18","6","Saturday","008","Data Is Not a Decision","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
