"build_id","title","surfaces_reviewed","classification","external_source_id","external_locator","decision","public_label","limitations"
"070","Legalization Is a Lifecycle","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","CDC-EVAL","https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps—assess context, gather credible evidence, act on findings","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"071","Fictional Medical-Cannabis Access Gates","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","WHO-IPCHS","https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"072","Fictional Island Access Comparison","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","WHO-IPCHS","https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"073","Access for Whom?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","WHO-IPCHS","https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"074","Is the System Actually Ready?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","CDC-EVAL","https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps—assess context, gather credible evidence, act on findings","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"075","Same Goal, Different Regulatory Machine","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"076","What Is Actually Different Between These Laws?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","PROV","https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"077","What Does This Change Actually Do?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"078","Translate the Evidence Without Breaking It","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","COCHRANE","https://training.cochrane.org/handbook — Chapters 3–5, 7–8 and 14","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"079","Find the Psychedelic Evidence That Actually Answers Your Question","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","COCHRANE","https://training.cochrane.org/handbook — Chapters 3–5, 7–8 and 14","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
