build_id,decision,public_label,source,locator,classification,limitation,distribution_scope
"007","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"008","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"009","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"012","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"013","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"017","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"021","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"022","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"025","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"028","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
