repository,classification,visibility,deployment_dependency,documentation_score,rights_status,secrets_scan_status,reproducibility_level,exact_next_action
rn-collins/ai-budget-calc,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/aiapc-site,incubator,private,verify-prelaunch,1,owner-created; verify third-party assets and source licenses,not-run,R0,verify owner/deployment/90-day plan; promote or archive
rn-collins/aloha-ai-consulting,flagship,public,verify-active,2,owner-created; verify third-party assets and source licenses,not-run,R2,run four publication gates; build flagship documentation bundle
rn-collins/aloha-ai-governance,flagship,private,verify-active,2,owner-created; verify third-party assets and source licenses,not-run,R2,run four publication gates; build flagship documentation bundle
rn-collins/aloha-behavioral-intelligence,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/aloha-build-club,internal,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R0,"keep private; document operations, secrets, ownership, recovery"
rn-collins/aloha-creator-rights,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/aloha-culture-monitor,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/aloha-dea-tracker,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/aloha-encoding-effect,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/aloha-governance-audit,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/aloha-legal-ai-monitor,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/aloha-suppression-sweep,flagship,private,verify-active,2,owner-created; verify third-party assets and source licenses,not-run,R2,run four publication gates; build flagship documentation bundle
rn-collins/aloha-third-asset,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/bm-intel,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/clerking-site,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/destig-toolkit,supporting,private,verify-active,1,collaborator/employer-linked review required,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/dru-assessment,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/entheogen-atlas,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/eolpc-demo,sanitized-showcase-shell,private,verify-active,1,prospect/client-context review required,not-run,R1,keep private; publish sanitized case-study shell
rn-collins/eolpc-demo-v5,consolidate,private,verify-active,1,prospect/client-context review required,not-run,R1,map deployment; migrate to canonical repo; redirect; archive
rn-collins/fadiman-atlas,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
rn-collins/flexjd-site,flagship,public,verify-active,2,institution-linked review required,not-run,R2,run four publication gates; build flagship documentation bundle
rn-collins/gapi-governance,incubator,private,verify-prelaunch,1,owner-created; verify third-party assets and source licenses,not-run,R0,verify owner/deployment/90-day plan; promote or archive
rn-collins/kids-developing-brains,incubator,private,verify-prelaunch,1,owner-created; verify third-party assets and source licenses,not-run,R0,verify owner/deployment/90-day plan; promote or archive
rn-collins/law-communication-library,flagship,private,verify-active,2,collaborator/employer-linked review required,not-run,R2,run four publication gates; build flagship documentation bundle
rn-collins/legal-risk-monitor,supporting,private,verify-active,1,owner-created; verify third-party assets and source licenses,not-run,R1,add baseline README; verify deployment; scan secrets; assess public value
