claim_id,build_id,surface,public_claim,claim_type,source_id,source_title,issuing_body,published_or_version,locator,support,reasoning,limitations,disposition
B070-FILM-S1,070,B film/transcript,"BUILD 070. LEGALIZATION IS A LIFECYCLE, NOT A VOTE.",prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B070-FILM-S2,070,B film/transcript,"FOLLOW ADVOCACY, ENACTMENT, RULEMAKING, LICENSING, OPERATIONS, LITIGATION, EVALUATION, AND REVISION.",mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B070-FILM-S3,070,B film/transcript,"ATTACH SOURCE, STATE, BLOCKER, AND UNKNOWN TO EVERY MILESTONE.",mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B070-FILM-S4,070,B film/transcript,"PASSED MEASURES CAN STILL FACE DISPUTED RULES, BLOCKED OPERATIONS, AND LITIGATION.",mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B070-FILM-S5,070,B film/transcript,A LIFECYCLE RECORD IS NOT CURRENT LAW OR PROOF OF IMPLEMENTATION.,mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B070-FILM-S6,070,B film/transcript,"FOLLOW THE WHOLE SYSTEM: DELIVERY, EVIDENCE, CONTEST, EVALUATION, AND REVISION.",mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B071-FILM-S1,071,B film/transcript,BUILD 071. LEGAL DOES NOT MEAN ACCESSIBLE.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B071-FILM-S2,071,B film/transcript,"ACCESS DEPENDS ON ELIGIBILITY, CLINICIANS, GEOGRAPHY, SUPPLY, COST, AND ACCOMMODATION.",mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B071-FILM-S3,071,B film/transcript,A POLICY RECORD CANNOT REMOVE PRACTICAL BARRIERS OR PROVE ELIGIBILITY.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B071-FILM-S4,071,B film/transcript,"KEEP DISABILITY, LANGUAGE, DIGITAL ACCESS, CONSENT, AND PRIVACY VISIBLE.",mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
